ALS 150,ALS 161
ALS 151,ALS 161
ALS 150,ALS 161
ALS 151,ALS 161
ALS 150,ALS 162
ALS 151,ALS 162
ALS 150,ALS 162
ALS 151,ALS 162
BA 211,ACTG 317
BA 211H,ACTG 317
BA 213,ACTG 317
BA 213H,ACTG 317
ACTG 317,ACTG 318
ACTG 318,ACTG 319
ACTG 317,ACTG 321
BA 211,ACTG 326
BA 211H,ACTG 326
BA 213,ACTG 326
BA 213H,ACTG 326
BA 213,ACTG 378
BI 213H,ACTG 378
BA 270,ACTG 378
BA 270H,ACTG 378
BA 302,ACTG 378
BA 275,ACTG 378
BA 275H,ACTG 378
BA 276,ACTG 378
ACTG 318,ACTG 379
ACTG 378,ACTG 379
ACTG 378H,ACTG 379
ACTG 319,ACTG 414
ACTG 319,ACTG 415
ACTG 319,ACTG 416
ACTG 319,ACTG 417
ACTG 319,ACTG 418
ACTG 319,ACTG 419
ACTG 319,ACTG 420
BA 372,ACTG 420
ACTG 378,ACTG 420
ACTG 319,ACTG 422
ACTG 321,ACTG 422
BA 357,ACTG 422
ACTG 319,ACTG 424
ACTG 325,ACTG 425
ACTG 424,ACTG 425
ACTG 319,ACTG 427
ACTG 427,ACTG 428
ACTG 516,ACTG 518
ACTG 517,ACTG 518
ACTG 518,ACTG 519
BA 528,ACTG 524
AHE 522,AHE 523
AHE 522,AHE 524
AHE 523,AHE 524
AHE 522,AHE 525
AHE 523,AHE 525
AHE 524,AHE 525
AHE 553,AHE 533
AHE 612,AHE 615
AHE 613,AHE 615
AHE 614,AHE 615
AHE 611,AHE 616
AHE 672,AHE 673
AHE 673,AHE 674
AHE 674,AHE 675
ENGR 211,AAE 210
ME 317,AAE 412
ME 317H,AAE 412
ME 373,AAE 412
ME 373H,AAE 412
ASL 111,ASL 112
ASL 112,ASL 113
ASL 113,ASL 211
ASL 211,ASL 212
ASL 212,ASL 213
BI 211,ANS 302
BI 211H,ANS 302
BI 212,ANS 302
BI 212H,ANS 302
BI 213,ANS 302
BI 213H,ANS 302
CH 121,ANS 302
CH 122,ANS 302
CH 123,ANS 302
BI 211,ANS 311
BI 211H,ANS 311
BI 212,ANS 311
BI 212H,ANS 311
BI 211,ANS 316
BI 211H,ANS 316
CH 121,ANS 316
CH 221,ANS 316
CH 231,ANS 316
CH 231H,ANS 316
ANS 316,ANS 317
BI 211,ANS 320
BI 211H,ANS 320
